Crop,Year,Trial Code,Trial ID,Site,Site ID,Latitude,Longitude,Sowing Date,Comment
Faba Bean,2020,FMaA20YEEL5,22208,Yeelanna,YEEL5,-34.136880,135.802465,2020-05-05,""
Faba Bean,2020,FMaA20MAIT5,21673,Maitland,MAIT5,-34.404905,137.706598,2020-05-13,""
Faba Bean,2020,FMaB20LAUR5,21987,Laura,LAUR5,-33.186221,138.271270,2020-05-21,""
Faba Bean,2020,FMaA20TARL5,21988,Tarlee,TARL5,-34.221041,138.748636,2020-05-26,""
Faba Bean,2020,FMaA20LAME5,21991,Lameroo,LAME5,-35.3292740000,140.5179940000,2020-04-28,Trial abandoned due to severe herbicide damage
Faba Bean,2020,FMaA20MUND5,21687,Mundulla,MUND5,-36.34228,140.48098,2020-05-06,""
Faba Bean,2020,FMaA20BLAG5,21686,Bool lagoon,BLAG5,-37.163337,140.806680,2020-05-29,""
Faba Bean,2019,FMaA19COCK5,21525,Cockaleechie,COCK5,-34.14035,135.76225,2019-05-27,""
Faba Bean,2019,FMaA19LAUR5,19799,Laura,LAUR5,-33.146111,138.276194,2019-05-28,""
Faba Bean,2019,FMaA19MINL5,19802,Minlaton,MINL5,-34.78272,137.569391,2019-05-08,""
Faba Bean,2019,FMaA19MAIT5,19801,Maitland,MAIT5,-34.43036,137.642311,2019-05-20,""
Faba Bean,2019,FMaA19PINE5,21528,Pinery,PINE5,-34.40679,138.51648,2019-05-16,""
Faba Bean,2019,FMaA19STRA5,21526,Strathalbyn,STRA5,-35.32614,138.88225,2019-05-20,""
Faba Bean,2019,FMaA19RIVE5,21523,Riverton,RIVE5,-34.02846,138.71988,2019-05-13,""
Faba Bean,2019,FMaA19TARL5,19798,Tarlee,TARL5,-34.211186,138.726381,2019-05-21,""
Faba Bean,2019,FMaA19FREE5,21527,Freeling,FREE5,-34.34587,138.86569,2019-05-14,""
Faba Bean,2019,FMaA19LAME5,19800,Lameroo,LAME5,-35.3292740000,140.5179940000,2019-05-11,Not for release; unacceptable within-plot and trial variability
Faba Bean,2019,FMaC19KEIT5,20354,Keith,KEIT5,-36.32196,140.47534,2019-05-15,""
Faba Bean,2019,FMaC19WOLS5,20355,Wolseley,WOLS5,-36.37567,140.87209,2019-05-15,""
Faba Bean,2019,FMaA19BLAG5,21524,Bool lagoon,BLAG5,-37.07250,140.46350,2019-05-14,""
